Apple	2015-03-11	41	Sleeping With Sirens 	 Madness (Deluxe Edition)
Apple	2015-03-11	42	Kid Rock 	 First Kiss
Apple	2015-03-11	43	All Time Low 	 Future Hearts
Apple	2015-03-11	44	Sia 	 1000 Forms of Fear
Apple	2015-03-11	45	Chris Brown X Tyga 	 Fan of a Fan the Album (Deluxe Version)
Apple	2015-03-11	46	Childish Gambino 	 Camp
Apple	2015-03-11	47	Nas 	 Illmatic
Apple	2015-03-11	48	WALK THE MOON 	 TALKING IS HARD
Apple	2015-03-11	49	Purity Ring 	 Another Eternity
Apple	2015-03-11	50	MOD SUN 	 Look Up
Apple	2015-03-11	51	Sam Smith 	 In the Lonely Hour
Apple	2015-03-11	52	Beck 	 Morning Phase
Apple	2015-03-11	53	Heems 	 Eat Pray Thug
Apple	2015-03-11	54	Various Artists 	 Cinderella (Original Motion Picture Soundtrack)
Apple	2015-03-11	55	Jason Aldean 	 Old Boots, New Dirt
Apple	2015-03-11	56	Mumford & Sons 	 Wilder Mind
Apple	2015-03-11	57	Eric Church 	 The Outsiders
Apple	2015-03-11	58	AWOLNATION 	 Run
Apple	2015-03-11	59	ScHoolboy Q 	 Oxymoron
Apple	2015-03-11	60	Ariana Grande 	 My Everything (Deluxe)
Apple	2015-03-11	61	Aaron Watson 	 The Underdog
Apple	2015-03-11	62	Modest Mouse 	 Strangers to Ourselves
Apple	2015-03-11	63	Ludacris 	 Ludaversal (Deluxe)
Apple	2015-03-11	64	Florida Georgia Line 	 Anything Goes
Apple	2015-03-11	65	Wu-Tang Clan 	 Enter the Wu-Tang
Apple	2015-03-11	66	DMX 	 The Best of DMX (Re-Recorded Versions)
Apple	2015-03-11	67	G-Unit 	 The Beast Is G Unit - EP
Apple	2015-03-11	68	Outkast 	 Stankonia (feat. C-Bone, C-Bone, Slimm Calhoun & Slimm Calhoun)
Apple	2015-03-11	69	A Tribe Called Quest 	 The Anthology
Apple	2015-03-11	70	Red 	 of Beauty and Rage
Apple	2015-03-11	71	Vance Joy 	 Dream Your Life Away
Apple	2015-03-11	72	Snoop Dogg 	 BUSH
Apple	2015-03-11	73	Death Cab for Cutie 	 Kintsugi
Apple	2015-03-11	74	Various Artists 	 Frozen (Original Motion Picture Soundtrack)
Apple	2015-03-11	75	Alabama Shakes 	 Sound & Color
Apple	2015-03-11	76	Hollywood Undead 	 Day of the Dead (Deluxe Version)
Apple	2015-03-11	77	Incubus 	 Trust Fall (Side A) - EP
Apple	2015-03-11	78	Fall Out Boy 	 Save Rock and Roll
Apple	2015-03-11	79	Json 	 No Filter
Apple	2015-03-11	80	Steve Grand 	 All American Boy
Apple	2015-03-11	81	Ed Sheeran 	 + (Deluxe Version)
Apple	2015-03-11	82	OneRepublic 	 Native
Apple	2015-03-11	83	Nirvana 	 Nevermind
Apple	2015-03-11	84	Hozier 	 Hozier
Apple	2015-03-11	85	George Ezra 	 Wanted On Voyage (Deluxe)
Apple	2015-03-11	86	Marina and The Diamonds 	 FROOT
Apple	2015-03-11	87	Various Artists 	 Furious 7 (Original Motion Picture Soundtrack)
Apple	2015-03-11	88	Shania Twain 	 Still the One: Live From Vegas
Apple	2015-03-11	89	Mat Kearney 	 JUST KIDS
Apple	2015-03-11	90	Cole Swindell 	 Cole Swindell
Apple	2015-03-11	91	ODESZA 	 In Return
Apple	2015-03-11	92	Casting Crowns 	 Thrive
Apple	2015-03-11	93	Zac Brown Band 	 Greatest Hits So Far...
Apple	2015-03-11	94	Fugees 	 The Score
Apple	2015-03-11	95	Luke Bryan 	 Crash My Party
Apple	2015-03-11	96	Maroon 5 	 V
Apple	2015-03-11	97	Diana Krall 	 Wallflower (Deluxe Edition)
Apple	2015-03-11	98	Action Bronson 	 Mr. Wonderful
Apple	2015-03-11	99	Wiz Khalifa 	 Rolling Papers
Apple	2015-03-11	100	Third Day 	 Lead Us Back: Songs of Worship (Deluxe Edition)
Apple	2015-03-12	1	Empire Cast 	 Original Soundtrack from Season 1 of Empire (Deluxe)
Apple	2015-03-12	2	Luke Bryan 	 Spring Break...Checkin' Out
Apple	2015-03-12	3	Drake 	 If You're Reading This It's Too Late
Apple	2015-03-12	4	Madonna 	 Rebel Heart
Apple	2015-03-12	5	Kendrick Lamar 	 To Pimp a Butterfly
Apple	2015-03-12	6	Various Artists 	 Fifty Shades of Grey (Original Motion Picture Soundtrack)
Apple	2015-03-12	7	Taylor Swift 	 1989
Apple	2015-03-12	8	Mumford & Sons 	 Wilder Mind (Deluxe Version)
Apple	2015-03-12	9	Big Sean 	 Dark Sky Paradise (Deluxe)
Apple	2015-03-12	10	Ed Sheeran 	 x (Deluxe Edition)
Apple	2015-03-12	11	Sam Hunt 	 Montevallo
Apple	2015-03-12	12	Zac Brown Band 	 JEKYLL + HYDE
Apple	2015-03-12	13	Kelly Clarkson 	 Piece By Piece (Deluxe Version)
Apple	2015-03-12	14	Sam Smith 	 In the Lonely Hour (Deluxe Version)
Apple	2015-03-12	15	Childish Gambino 	 Because the Internet
Apple	2015-03-12	16	Imagine Dragons 	 Smoke + Mirrors
Apple	2015-03-12	17	Eli Young Band 	 Turn It On - EP
Apple	2015-03-12	18	Fall Out Boy 	 American Beauty
Apple	2015-03-12	19	Maroon 5 	 V (Deluxe Version)
Apple	2015-03-12	20	Chase Rice 	 Ignite the Night (Party Edition)
Apple	2015-03-12	21	Rae Sremmurd 	 SremmLife
Apple	2015-03-12	22	J. Cole 	 2014 Forest Hills Drive
Apple	2015-03-12	23	Meghan Trainor 	 Title (Deluxe)
Apple	2015-03-12	24	G-Eazy 	 These Things Happen
Apple	2015-03-12	25	Hozier 	 Hozier (Bonus Tracks Version)
Apple	2015-03-12	26	Various Artists 	 Now That's What I Call Music, Vol. 53
Apple	2015-03-12	27	Wale 	 The Album About Nothing
Apple	2015-03-12	28	Brandi Carlile 	 The Firewatcher's Daughter
Apple	2015-03-12	29	Kevin "K.O." Olusola 	 The Renegade EP - EP
Apple	2015-03-12	30	Olly Murs 	 Never Been Better (Deluxe)
Apple	2015-03-12	31	Nicki Minaj 	 The Pinkprint (Deluxe Version)
Apple	2015-03-12	32	KB 	 Tomorrow We Live
Apple	2015-03-12	33	Various Artists 	 Guardians of the Galaxy: Awesome Mix, Vol. 1 (Original Motion Picture Soundtrack)
Apple	2015-03-12	34	Lecrae 	 Anomaly
Apple	2015-03-12	35	Sleeping With Sirens 	 Madness (Deluxe Edition)
Apple	2015-03-12	36	Luke Bryan 	 Spring Break...Checkin' Out (5 Song) - EP
Apple	2015-03-12	37	Sheppard 	 Bombs Away
Apple	2015-03-12	38	Glee Cast 	 Glee: The Music, We Built This Glee Club - EP
Apple	2015-03-12	39	Kid Rock 	 First Kiss
Apple	2015-03-12	40	Miranda Lambert 	 Platinum
Apple	2015-03-12	41	Eric Church 	 The Outsiders
Apple	2015-03-12	42	Sia 	 1000 Forms of Fear
Apple	2015-03-12	43	Chris Brown X Tyga 	 Fan of a Fan the Album (Deluxe Version)
Apple	2015-03-12	44	King Lil G 	 90's Kid
Apple	2015-03-12	45	WALK THE MOON 	 TALKING IS HARD
Apple	2015-03-12	46	Childish Gambino 	 Camp
Apple	2015-03-12	47	Skrillex & Diplo 	 Skrillex and Diplo Present Jack Ü
Apple	2015-03-12	48	Nas 	 Illmatic
Apple	2015-03-12	49	Florida Georgia Line 	 Anything Goes
Apple	2015-03-12	50	Rabih Sager 	 Awajeh Al Maana, Vol. 1 & 2
Apple	2015-03-12	51	AWOLNATION 	 Run
Apple	2015-03-12	52	Sam Smith 	 In the Lonely Hour
Apple	2015-03-12	53	Ariana Grande 	 My Everything (Deluxe)
Apple	2015-03-12	54	Jason Aldean 	 Old Boots, New Dirt
Apple	2015-03-12	55	Purity Ring 	 Another Eternity
Apple	2015-03-12	56	Beck 	 Morning Phase
Apple	2015-03-12	57	ScHoolboy Q 	 Oxymoron
Apple	2015-03-12	58	Vance Joy 	 Dream Your Life Away
Apple	2015-03-12	59	Aaron Watson 	 The Underdog
Apple	2015-03-12	60	Various Artists 	 Furious 7 (Original Motion Picture Soundtrack)
Apple	2015-03-12	61	Various Artists 	 Frozen (Original Motion Picture Soundtrack)
Apple	2015-03-12	62	Various Artists 	 Cinderella (Original Motion Picture Soundtrack)
Apple	2015-03-12	63	Wu-Tang Clan 	 Enter the Wu-Tang
Apple	2015-03-12	64	Drake 	 Take Care (Deluxe Version)
Apple	2015-03-12	65	Modest Mouse 	 Strangers to Ourselves
Apple	2015-03-12	66	Madonna 	 The Immaculate Collection
Apple	2015-03-12	67	Hozier 	 Hozier
Apple	2015-03-12	68	Death Cab for Cutie 	 Kintsugi
Apple	2015-03-12	69	Steve Grand 	 All American Boy
Apple	2015-03-12	70	Marvin Gaye 	 Number 1's: Marvin Gaye
Apple	2015-03-12	71	All Time Low 	 Future Hearts
Apple	2015-03-12	72	Ludacris 	 Ludaversal (Deluxe)
Apple	2015-03-12	73	Red 	 of Beauty and Rage
Apple	2015-03-12	74	Incubus 	 Trust Fall (Side A) - EP
Apple	2015-03-12	75	Casting Crowns 	 Thrive
